('fuck you', array([[ 0.95598597,  0.04401403]]))
('you understand', array([[ 0.27773387,  0.72226613]]))
('what people', array([[ 0.277733,  0.722267]]))
('for us', array([[ 0.27754431,  0.72245569]]))
('way you', array([[ 0.27741692,  0.72258308]]))
('at me', array([[ 0.27727743,  0.72272257]]))
('who can', array([[ 0.27719499,  0.72280501]]))
('articles you', array([[ 0.27655881,  0.72344119]]))
('person is', array([[ 0.27641613,  0.72358387]]))
('they re', array([[ 0.27586225,  0.72413775]]))
('over and', array([[ 0.27567143,  0.72432857]]))
('about me', array([[ 0.27529474,  0.72470526]]))
('your opinions', array([[ 0.27515771,  0.72484229]]))
('of people', array([[ 0.27451017,  0.72548983]]))
('you for', array([[ 0.27444107,  0.72555893]]))
('can even', array([[ 0.27441055,  0.72558945]]))
('out of', array([[ 0.27439569,  0.72560431]]))
('people to', array([[ 0.27438331,  0.72561669]]))
('are clearly', array([[ 0.27397288,  0.72602712]]))
('about my', array([[ 0.27384714,  0.72615286]]))
('encourage you', array([[ 0.27343841,  0.72656159]]))
('man and', array([[ 0.27338933,  0.72661067]]))
('maybe you', array([[ 0.27328546,  0.72671454]]))
('he wants', array([[ 0.27275315,  0.72724685]]))
('appreciate your', array([[ 0.27270246,  0.72729754]]))
('did you', array([[ 0.27210739,  0.72789261]]))
('phil smells', array([[ 0.27210583,  0.72789417]]))
('blocked and', array([[ 0.27205622,  0.72794378]]))
('bunch of', array([[ 0.27201607,  0.72798393]]))
('self hating', array([[ 0.27200309,  0.72799691]]))
('to people', array([[ 0.27195052,  0.72804948]]))
('vandalism is', array([[ 0.27194905,  0.72805095]]))
('you suggest', array([[ 0.27192745,  0.72807255]]))
('smells phil', array([[ 0.27192631,  0.72807369]]))
('back up', array([[ 0.27178562,  0.72821438]]))
('is because', array([[ 0.2714424,  0.7285576]]))
('up the', array([[ 0.27138808,  0.72861192]]))
('just because', array([[ 0.27118734,  0.72881266]]))
('of us', array([[ 0.2709737,  0.7290263]]))
('she is', array([[ 0.26974954,  0.73025046]]))
('me as', array([[ 0.26974249,  0.73025751]]))
('you love', array([[ 0.26944058,  0.73055942]]))
('your efforts', array([[ 0.26912877,  0.73087123]]))
('said you', array([[ 0.26907484,  0.73092516]]))
('nazi party', array([[ 0.26868612,  0.73131388]]))
('and then', array([[ 0.26858374,  0.73141626]]))
('oh and', array([[ 0.26822342,  0.73177658]]))
('you continue', array([[ 0.26805315,  0.73194685]]))
('million people', array([[ 0.26805264,  0.73194736]]))
('vandalism motherfucker', array([[ 0.26794832,  0.73205168]]))
('as he', array([[ 0.26776766,  0.73223234]]))
('you haven', array([[ 0.26754537,  0.73245463]]))
('come on', array([[ 0.26723874,  0.73276126]]))
('is big', array([[ 0.26716518,  0.73283482]]))
('been blocked', array([[ 0.26700464,  0.73299536]]))
('who want', array([[ 0.26650854,  0.73349146]]))
('say you', array([[ 0.26649374,  0.73350626]]))
('year old', array([[ 0.2664471,  0.7335529]]))
('up my', array([[ 0.2655288,  0.7344712]]))
('use your', array([[ 0.26538044,  0.73461956]]))
('he had', array([[ 0.26522154,  0.73477846]]))
('will try', array([[ 0.26510356,  0.73489644]]))
('are and', array([[ 0.26504444,  0.73495556]]))
('people were', array([[ 0.26481315,  0.73518685]]))
('your posts', array([[ 0.26447948,  0.73552052]]))
('out my', array([[ 0.26445897,  0.73554103]]))
('sign your', array([[ 0.26420806,  0.73579194]]))
('re an', array([[ 0.26394365,  0.73605635]]))
('wikipedia is', array([[ 0.26385569,  0.73614431]]))
('vandalizing the', array([[ 0.26380629,  0.73619371]]))
('you keep', array([[ 0.26375194,  0.73624806]]))
('editors and', array([[ 0.26372578,  0.73627422]]))
('who don', array([[ 0.26369943,  0.73630057]]))
('nothing about', array([[ 0.26334706,  0.73665294]]))
('go into', array([[ 0.26327189,  0.73672811]]))
('your userpage', array([[ 0.26325352,  0.73674648]]))
('person and', array([[ 0.26313788,  0.73686212]]))
('let me', array([[ 0.26307501,  0.73692499]]))
('you could', array([[ 0.2629543,  0.7370457]]))
('yet you', array([[ 0.26287346,  0.73712654]]))
('is being', array([[ 0.26273229,  0.73726771]]))
('to ban', array([[ 0.26259064,  0.73740936]]))
('who is', array([[ 0.26227283,  0.73772717]]))
('re being', array([[ 0.26199807,  0.73800193]]))
('make your', array([[ 0.26197821,  0.73802179]]))
('by people', array([[ 0.26177102,  0.73822898]]))
('one who', array([[ 0.26160558,  0.73839442]]))
('sure you', array([[ 0.26116867,  0.73883133]]))
('from your', array([[ 0.26114899,  0.73885101]]))
('your point', array([[ 0.26113766,  0.73886234]]))
('excuse me', array([[ 0.26109341,  0.73890659]]))
('he didn', array([[ 0.26107826,  0.73892174]]))
('is against', array([[ 0.26058405,  0.73941595]]))
('simply because', array([[ 0.26014747,  0.73985253]]))
('me to', array([[ 0.25989663,  0.74010337]]))
('if your', array([[ 0.25973484,  0.74026516]]))
('respect for', array([[ 0.25970725,  0.74029275]]))
('and who', array([[ 0.25968896,  0.74031104]]))
('not me', array([[ 0.25963619,  0.74036381]]))
('should go', array([[ 0.25958485,  0.74041515]]))
('don want', array([[ 0.25946896,  0.74053104]]))
('are talking', array([[ 0.25945363,  0.74054637]]))
('deal with', array([[ 0.25916515,  0.74083485]]))
('the admins', array([[ 0.25912254,  0.74087746]]))
('are they', array([[ 0.25910181,  0.74089819]]))
('you mention', array([[ 0.25885752,  0.74114248]]))
('perhaps you', array([[ 0.25885056,  0.74114944]]))
('editing my', array([[ 0.25827215,  0.74172785]]))
('kind of', array([[ 0.25823279,  0.74176721]]))
('me when', array([[ 0.25817617,  0.74182383]]))
('who are', array([[ 0.25808315,  0.74191685]]))
('my articles', array([[ 0.25801635,  0.74198365]]))
('noticed you', array([[ 0.25794922,  0.74205078]]))
('he continues', array([[ 0.25770465,  0.74229535]]))
('and minorities', array([[ 0.25753871,  0.74246129]]))
('go through', array([[ 0.25743656,  0.74256344]]))
('with his', array([[ 0.25739335,  0.74260665]]))
('for all', array([[ 0.25730319,  0.74269681]]))
('sock puppetry', array([[ 0.25680777,  0.74319223]]))
('me san', array([[ 0.25642141,  0.74357859]]))
('who have', array([[ 0.25641608,  0.74358392]]))
('re just', array([[ 0.25636019,  0.74363981]]))
('and never', array([[ 0.2560111,  0.7439889]]))
('is all', array([[ 0.25592177,  0.74407823]]))
('on his', array([[ 0.25582899,  0.74417101]]))
('being an', array([[ 0.25577114,  0.74422886]]))
('telling me', array([[ 0.25567938,  0.74432062]]))
('to get', array([[ 0.25555859,  0.74444141]]))
('are too', array([[ 0.2555362,  0.7444638]]))
('salute is', array([[ 0.25549562,  0.74450438]]))
('you only', array([[ 0.25525814,  0.74474186]]))
('for personal', array([[ 0.25510556,  0.74489444]]))
('you use', array([[ 0.25496499,  0.74503501]]))
('they aren', array([[ 0.25480342,  0.74519658]]))
('you uploaded', array([[ 0.25457909,  0.74542091]]))
('he cannot', array([[ 0.25441033,  0.74558967]]))
('this site', array([[ 0.25419929,  0.74580071]]))
('me have', array([[ 0.25363912,  0.74636088]]))
('faggot shithead', array([[ 0.25356709,  0.74643291]]))
('and being', array([[ 0.25349911,  0.74650089]]))
('real world', array([[ 0.25342762,  0.74657238]]))
('can do', array([[ 0.25308093,  0.74691907]]))
('add your', array([[ 0.25292179,  0.74707821]]))
('is and', array([[ 0.25269544,  0.74730456]]))
('your argument', array([[ 0.25267531,  0.74732469]]))
('your test', array([[ 0.25182752,  0.74817248]]))
('me by', array([[ 0.2517629,  0.7482371]]))
('those people', array([[ 0.25155381,  0.74844619]]))
('you may', array([[ 0.25142734,  0.74857266]]))
('my talk', array([[ 0.25136499,  0.74863501]]))
('vandalism by', array([[ 0.25133009,  0.74866991]]))
('try and', array([[ 0.25110722,  0.74889278]]))
('put up', array([[ 0.25102345,  0.74897655]]))
('remind you', array([[ 0.25084565,  0.74915435]]))
('she was', array([[ 0.2508282,  0.7491718]]))
('of my', array([[ 0.25076131,  0.74923869]]))
('and can', array([[ 0.25067149,  0.74932851]]))
('on my', array([[ 0.2506519,  0.7493481]]))
('new york', array([[ 0.2506257,  0.7493743]]))
('your support', array([[ 0.25050342,  0.74949658]]))
('on all', array([[ 0.25014539,  0.74985461]]))
('salute and', array([[ 0.24997031,  0.75002969]]))
('of being', array([[ 0.24994696,  0.75005304]]))
('is well', array([[ 0.24937017,  0.75062983]]))
('is wrong', array([[ 0.24930107,  0.75069893]]))
('most people', array([[ 0.2490937,  0.7509063]]))
('he also', array([[ 0.24898856,  0.75101144]]))
('is so', array([[ 0.24874138,  0.75125862]]))
('so what', array([[ 0.24834765,  0.75165235]]))
('so will', array([[ 0.24827456,  0.75172544]]))
('listen to', array([[ 0.24825263,  0.75174737]]))
('wikipedia liars', array([[ 0.24810849,  0.75189151]]))
('there you', array([[ 0.24802811,  0.75197189]]))
('me this', array([[ 0.24787606,  0.75212394]]))
('is no', array([[ 0.24719699,  0.75280301]]))
('again and', array([[ 0.24716662,  0.75283338]]))
('who they', array([[ 0.24709992,  0.75290008]]))
('you check', array([[ 0.24701999,  0.75298001]]))
('re so', array([[ 0.24693874,  0.75306126]]))
('people or', array([[ 0.24693812,  0.75306188]]))
('site for', array([[ 0.24683231,  0.75316769]]))
('me if', array([[ 0.24661822,  0.75338178]]))
('and because', array([[ 0.24654363,  0.75345637]]))
('is clearly', array([[ 0.2463464,  0.7536536]]))
('no right', array([[ 0.24633182,  0.75366818]]))
('edit your', array([[ 0.24604564,  0.75395436]]))
('proof is', array([[ 0.24603331,  0.75396669]]))
('you made', array([[ 0.24591079,  0.75408921]]))
('has nothing', array([[ 0.24583952,  0.75416048]]))
('why he', array([[ 0.24559707,  0.75440293]]))
('be blocked', array([[ 0.24552094,  0.75447906]]))
('you please', array([[ 0.2454741,  0.7545259]]))
('don agree', array([[ 0.24525591,  0.75474409]]))
('no matter', array([[ 0.24522604,  0.75477396]]))
('site is', array([[ 0.24512609,  0.75487391]]))
('im not', array([[ 0.24488907,  0.75511093]]))
('fact that', array([[ 0.24484471,  0.75515529]]))
('be so', array([[ 0.24468425,  0.75531575]]))
('edits are', array([[ 0.24464262,  0.75535738]]))
('blocked by', array([[ 0.244572,  0.755428]]))
('is not', array([[ 0.24443776,  0.75556224]]))
('all over', array([[ 0.24419219,  0.75580781]]))
('every time', array([[ 0.24411255,  0.75588745]]))
('think he', array([[ 0.24399077,  0.75600923]]))
('you wish', array([[ 0.2439292,  0.7560708]]))
('have never', array([[ 0.24355342,  0.75644658]]))
('is personal', array([[ 0.24321815,  0.75678185]]))
('like fart', array([[ 0.24304571,  0.75695429]]))
('and especially', array([[ 0.24299667,  0.75700333]]))
('so and', array([[ 0.24282924,  0.75717076]]))
('are all', array([[ 0.24267941,  0.75732059]]))
('wikipedia are', array([[ 0.24259798,  0.75740202]]))
('mum is', array([[ 0.24242326,  0.75757674]]))
('was blocked', array([[ 0.24238437,  0.75761563]]))
('end up', array([[ 0.24224488,  0.75775512]]))
('such an', array([[ 0.24206661,  0.75793339]]))
('up by', array([[ 0.24184637,  0.75815363]]))
('you actually', array([[ 0.24180207,  0.75819793]]))
('you did', array([[ 0.24179549,  0.75820451]]))
('re trying', array([[ 0.24170196,  0.75829804]]))
('his vandalism', array([[ 0.2416228,  0.7583772]]))
('edits and', array([[ 0.2413555,  0.7586445]]))
('calling someone', array([[ 0.24130653,  0.75869347]]))
('nothing wrong', array([[ 0.24093073,  0.75906927]]))
('so many', array([[ 0.24077662,  0.75922338]]))
('why are', array([[ 0.24041967,  0.75958033]]))
('so why', array([[ 0.24030559,  0.75969441]]))
('who thinks', array([[ 0.24030544,  0.75969456]]))
('us to', array([[ 0.24018736,  0.75981264]]))
('site and', array([[ 0.23999932,  0.76000068]]))
('can just', array([[ 0.23980846,  0.76019154]]))
('don care', array([[ 0.23973371,  0.76026629]]))
('look up', array([[ 0.2394473,  0.7605527]]))
('don be', array([[ 0.23909767,  0.76090233]]))
('just like', array([[ 0.2390627,  0.7609373]]))
('hassan you', array([[ 0.2389863,  0.7610137]]))
('not personal', array([[ 0.23855754,  0.76144246]]))
('yet he', array([[ 0.23833919,  0.76166081]]))
('glad you', array([[ 0.23832157,  0.76167843]]))
('proof that', array([[ 0.23795388,  0.76204612]]))
('warning on', array([[ 0.23793821,  0.76206179]]))
('some kind', array([[ 0.23752933,  0.76247067]]))
('that my', array([[ 0.23749273,  0.76250727]]))
('me but', array([[ 0.23743844,  0.76256156]]))
('you ask', array([[ 0.23739973,  0.76260027]]))
('nothing but', array([[ 0.23738027,  0.76261973]]))
('he says', array([[ 0.23730623,  0.76269377]]))
('ll get', array([[ 0.23698912,  0.76301088]]))
('is full', array([[ 0.23696883,  0.76303117]]))
('power of', array([[ 0.23695548,  0.76304452]]))
('is true', array([[ 0.23692336,  0.76307664]]))
('love you', array([[ 0.23692043,  0.76307957]]))
('wish you', array([[ 0.23684311,  0.76315689]]))
('an insult', array([[ 0.23652898,  0.76347102]]))
('like an', array([[ 0.2364981,  0.7635019]]))
('too many', array([[ 0.23642149,  0.76357851]]))
('me from', array([[ 0.23633304,  0.76366696]]))
('saying he', array([[ 0.23620541,  0.76379459]]))
('and wikipedia', array([[ 0.23618105,  0.76381895]]))
('world is', array([[ 0.23603349,  0.76396651]]))
('article you', array([[ 0.23598458,  0.76401542]]))
('look like', array([[ 0.2351879,  0.7648121]]))
('your username', array([[ 0.2349154,  0.7650846]]))
('let us', array([[ 0.23471002,  0.76528998]]))
('world and', array([[ 0.23457017,  0.76542983]]))
('never been', array([[ 0.23428607,  0.76571393]]))
('faith and', array([[ 0.23408689,  0.76591311]]))
('he thinks', array([[ 0.2336116,  0.7663884]]))
('don get', array([[ 0.23327574,  0.76672426]]))
('when he', array([[ 0.23326557,  0.76673443]]))
('your website', array([[ 0.2325416,  0.7674584]]))
('so am', array([[ 0.23248153,  0.76751847]]))
('you insist', array([[ 0.23231955,  0.76768045]]))
('opinion and', array([[ 0.23188856,  0.76811144]]))
('user is', array([[ 0.23183804,  0.76816196]]))
('your help', array([[ 0.23173549,  0.76826451]]))
('they can', array([[ 0.23171843,  0.76828157]]))
('few weeks', array([[ 0.23169544,  0.76830456]]))
('such thing', array([[ 0.23135686,  0.76864314]]))
('me at', array([[ 0.23121948,  0.76878052]]))
('and no', array([[ 0.23113433,  0.76886567]]))
('show up', array([[ 0.23096575,  0.76903425]]))
('hope you', array([[ 0.23096253,  0.76903747]]))
('an anti', array([[ 0.23086792,  0.76913208]]))
('nothing to', array([[ 0.23066171,  0.76933829]]))
('no place', array([[ 0.23045308,  0.76954692]]))
('of jews', array([[ 0.23043048,  0.76956952]]))
('and give', array([[ 0.23041328,  0.76958672]]))
('nothing else', array([[ 0.23028635,  0.76971365]]))
('was being', array([[ 0.23025627,  0.76974373]]))
('an admin', array([[ 0.23022753,  0.76977247]]))
('wikipedia because', array([[ 0.23022148,  0.76977852]]))
('is allowed', array([[ 0.23016183,  0.76983817]]))
('china smells', array([[ 0.23016008,  0.76983992]]))
('up on', array([[ 0.23004297,  0.76995703]]))
('them all', array([[ 0.22995048,  0.77004952]]))
('your article', array([[ 0.22993749,  0.77006251]]))
('he wrote', array([[ 0.22984959,  0.77015041]]))
('me about', array([[ 0.22976352,  0.77023648]]))
('truth is', array([[ 0.22971928,  0.77028072]]))
('never said', array([[ 0.22962967,  0.77037033]]))
('knows that', array([[ 0.22939549,  0.77060451]]))
('up of', array([[ 0.22935175,  0.77064825]]))
('up to', array([[ 0.22912313,  0.77087687]]))
('is for', array([[ 0.2290043,  0.7709957]]))
('question is', array([[ 0.2289708,  0.7710292]]))
('go ahead', array([[ 0.22877607,  0.77122393]]))
('them because', array([[ 0.22875033,  0.77124967]]))
('lying about', array([[ 0.22862345,  0.77137655]]))
('for his', array([[ 0.22854895,  0.77145105]]))
('pages are', array([[ 0.22846969,  0.77153031]]))
('and for', array([[ 0.22828882,  0.77171118]]))
('on wikipedia', array([[ 0.22828607,  0.77171393]]))
('will leave', array([[ 0.22808283,  0.77191717]]))
('will tell', array([[ 0.2280733,  0.7719267]]))
('me or', array([[ 0.22805079,  0.77194921]]))
('facts are', array([[ 0.22778526,  0.77221474]]))
('attack on', array([[ 0.22778427,  0.77221573]]))
('with my', array([[ 0.2276491,  0.7723509]]))
('is always', array([[ 0.22761572,  0.77238428]]))
('up as', array([[ 0.22718613,  0.77281387]]))
('opinion is', array([[ 0.22716831,  0.77283169]]))
('make me', array([[ 0.22708441,  0.77291559]]))
('who the', array([[ 0.22669435,  0.77330565]]))
('being called', array([[ 0.2260705,  0.7739295]]))
('your talk', array([[ 0.22601611,  0.77398389]]))
('is simply', array([[ 0.22593454,  0.77406546]]))
('as bad', array([[ 0.22591914,  0.77408086]]))
('rude and', array([[ 0.22573879,  0.77426121]]))
('wrong with', array([[ 0.22567029,  0.77432971]]))
('why don', array([[ 0.22556609,  0.77443391]]))
('and place', array([[ 0.22553634,  0.77446366]]))
('not go', array([[ 0.22536892,  0.77463108]]))
('don worry', array([[ 0.22528954,  0.77471046]]))
('you believe', array([[ 0.2252727,  0.7747273]]))
('and got', array([[ 0.22525494,  0.77474506]]))
('can all', array([[ 0.2251341,  0.7748659]]))
('he keeps', array([[ 0.2251243,  0.7748757]]))
('people the', array([[ 0.2248794,  0.7751206]]))
('14 weeks', array([[ 0.22480926,  0.77519074]]))
('who wrote', array([[ 0.22468535,  0.77531465]]))
('do anything', array([[ 0.22464717,  0.77535283]]))
('dealing with', array([[ 0.22458572,  0.77541428]]))
('slim virgin', array([[ 0.22424818,  0.77575182]]))
('see you', array([[ 0.22421619,  0.77578381]]))
('so do', array([[ 0.22404858,  0.77595142]]))
('not get', array([[ 0.22402557,  0.77597443]]))
('is his', array([[ 0.2239485,  0.7760515]]))
('before he', array([[ 0.22389218,  0.77610782]]))
('am still', array([[ 0.2237613,  0.7762387]]))
('your position', array([[ 0.22366088,  0.77633912]]))
('are wrong', array([[ 0.22363523,  0.77636477]]))
('and am', array([[ 0.22340808,  0.77659192]]))
('please get', array([[ 0.22337823,  0.77662177]]))
('clean up', array([[ 0.22329427,  0.77670573]]))
('and left', array([[ 0.22327577,  0.77672423]]))
('dont have', array([[ 0.22305269,  0.77694731]]))
('will give', array([[ 0.22304464,  0.77695536]]))
('he doesn', array([[ 0.22284412,  0.77715588]]))
('not like', array([[ 0.22270936,  0.77729064]]))
('that am', array([[ 0.22244516,  0.77755484]]))
('of god', array([[ 0.22239727,  0.77760273]]))
('are just', array([[ 0.22233419,  0.77766581]]))
('all and', array([[ 0.22205773,  0.77794227]]))
('here is', array([[ 0.22203862,  0.77796138]]))
('that she', array([[ 0.22199443,  0.77800557]]))
('weeks 2001', array([[ 0.22199124,  0.77800876]]))
('and such', array([[ 0.22168546,  0.77831454]]))
('to play', array([[ 0.22160176,  0.77839824]]))
('conspiracy theory', array([[ 0.22157136,  0.77842864]]))
('rid of', array([[ 0.22155803,  0.77844197]]))
('they do', array([[ 0.22154231,  0.77845769]]))
('people of', array([[ 0.22114287,  0.77885713]]))
('your edit', array([[ 0.22108427,  0.77891573]]))
('vandalism and', array([[ 0.22102233,  0.77897767]]))
('pov and', array([[ 0.22096296,  0.77903704]]))
('that don', array([[ 0.22049877,  0.77950123]]))
('true and', array([[ 0.22043525,  0.77956475]]))
('is absolutely', array([[ 0.22032197,  0.77967803]]))
('like it', array([[ 0.22014301,  0.77985699]]))
('with such', array([[ 0.22010658,  0.77989342]]))
('same person', array([[ 0.22010011,  0.77989989]]))
('you added', array([[ 0.22009774,  0.77990226]]))
('an individual', array([[ 0.21983167,  0.78016833]]))
('and try', array([[ 0.2197677,  0.7802323]]))
('his personal', array([[ 0.21968096,  0.78031904]]))
('me the', array([[ 0.21962584,  0.78037416]]))
('proud of', array([[ 0.21957439,  0.78042561]]))
('is far', array([[ 0.21922966,  0.78077034]]))
('png http', array([[ 0.21920756,  0.78079244]]))
('up shortly', array([[ 0.21911978,  0.78088022]]))
('sure he', array([[ 0.21909218,  0.78090782]]))
('his page', array([[ 0.21890242,  0.78109758]]))
('people in', array([[ 0.2188481,  0.7811519]]))
('you probably', array([[ 0.21871689,  0.78128311]]))
('like said', array([[ 0.21860458,  0.78139542]]))
('it he', array([[ 0.21859237,  0.78140763]]))
('many times', array([[ 0.21854005,  0.78145995]]))
('could you', array([[ 0.21853449,  0.78146551]]))
('wikipedia editors', array([[ 0.21836131,  0.78163869]]))
('everyone who', array([[ 0.2180638,  0.7819362]]))
('own personal', array([[ 0.21793663,  0.78206337]]))
('boy who', array([[ 0.21782437,  0.78217563]]))
('to go', array([[ 0.21775691,  0.78224309]]))
('not being', array([[ 0.21765684,  0.78234316]]))
('how dare', array([[ 0.21759093,  0.78240907]]))
('people think', array([[ 0.21750924,  0.78249076]]))
('here will', array([[ 0.21747496,  0.78252504]]))
('here because', array([[ 0.21742846,  0.78257154]]))
('it up', array([[ 0.21737597,  0.78262403]]))
('you came', array([[ 0.21719743,  0.78280257]]))
('is like', array([[ 0.21685458,  0.78314542]]))
('also like', array([[ 0.21681319,  0.78318681]]))
('adding nonsense', array([[ 0.2167838,  0.7832162]]))
('and pov', array([[ 0.2166477,  0.7833523]]))
('is wikipedia', array([[ 0.2166083,  0.7833917]]))
('by my', array([[ 0.21631719,  0.78368281]]))
('me that', array([[ 0.21624291,  0.78375709]]))
('muslims are', array([[ 0.21613992,  0.78386008]]))
('god has', array([[ 0.21603529,  0.78396471]]))
('blocking policy', array([[ 0.21602713,  0.78397287]]))
('he said', array([[ 0.2159451,  0.7840549]]))
('of rape', array([[ 0.215923,  0.784077]]))
('was never', array([[ 0.21576729,  0.78423271]]))
('they want', array([[ 0.21562159,  0.78437841]]))
('wrong and', array([[ 0.21539345,  0.78460655]]))
('military salute', array([[ 0.21538334,  0.78461666]]))
('re doing', array([[ 0.21531832,  0.78468168]]))
('not my', array([[ 0.21502472,  0.78497528]]))
('and everyone', array([[ 0.214991,  0.785009]]))
('deleting my', array([[ 0.21491015,  0.78508985]]))
('my view', array([[ 0.21473799,  0.78526201]]))
('that god', array([[ 0.21458793,  0.78541207]]))
('just don', array([[ 0.2144065,  0.7855935]]))
('their own', array([[ 0.21407805,  0.78592195]]))
('get started', array([[ 0.21395871,  0.78604129]]))
('is fact', array([[ 0.21382504,  0.78617496]]))
('just do', array([[ 0.21382386,  0.78617614]]))
('fact is', array([[ 0.21364017,  0.78635983]]))
('will not', array([[ 0.21351414,  0.78648586]]))
('set up', array([[ 0.21349502,  0.78650498]]))
('and delete', array([[ 0.21349197,  0.78650803]]))
('facts and', array([[ 0.21337927,  0.78662073]]))
('of latinus', array([[ 0.21326117,  0.78673883]]))
('away with', array([[ 0.21325891,  0.78674109]]))
('place and', array([[ 0.21325785,  0.78674215]]))
('if she', array([[ 0.21322953,  0.78677047]]))
('today and', array([[ 0.21320243,  0.78679757]]))
('believe you', array([[ 0.21317421,  0.78682579]]))
('in my', array([[ 0.21302893,  0.78697107]]))
('if he', array([[ 0.21297979,  0.78702021]]))
('oh well', array([[ 0.21284954,  0.78715046]]))
('by gastrich', array([[ 0.21269769,  0.78730231]]))
('and by', array([[ 0.21257523,  0.78742477]]))

('links in', array([[ 0.09493433,  0.90506567]]))
('the consensus', array([[ 0.09489162,  0.90510838]]))
('as per', array([[ 0.09489088,  0.90510912]]))
('was good', array([[ 0.09488017,  0.90511983]]))
('could not', array([[ 0.09486244,  0.90513756]]))
('the type', array([[ 0.09483694,  0.90516306]]))
('entitled to', array([[ 0.09481732,  0.90518268]]))
('the origin', array([[ 0.09481168,  0.90518832]]))
('ask that', array([[ 0.09479174,  0.90520826]]))
('the external', array([[ 0.09477428,  0.90522572]]))
('now it', array([[ 0.09474528,  0.90525472]]))
('said the', array([[ 0.09470649,  0.90529351]]))
('point that', array([[ 0.09470062,  0.90529938]]))
('listed on', array([[ 0.09469324,  0.90530676]]))
('if not', array([[ 0.09468649,  0.90531351]]))
('based on', array([[ 0.09465166,  0.90534834]]))
('way to', array([[ 0.09464899,  0.90535101]]))
('or as', array([[ 0.09462913,  0.90537087]]))
('from someone', array([[ 0.0946083,  0.9053917]]))
('reverted please', array([[ 0.09459096,  0.90540904]]))
('if this', array([[ 0.09458724,  0.90541276]]))
('be part', array([[ 0.09456138,  0.90543862]]))
('been the', array([[ 0.09454373,  0.90545627]]))
('the basic', array([[ 0.09453924,  0.90546076]]))
('find any', array([[ 0.09451113,  0.90548887]]))
('group of', array([[ 0.09447914,  0.90552086]]))
('been listed', array([[ 0.09447904,  0.90552096]]))
('behalf of', array([[ 0.09432965,  0.90567035]]))
('the five', array([[ 0.09431545,  0.90568455]]))
('fair use', array([[ 0.09428047,  0.90571953]]))
('to discuss', array([[ 0.09427251,  0.90572749]]))
('of good', array([[ 0.09426084,  0.90573916]]))
('only if', array([[ 0.09418494,  0.90581506]]))
('use this', array([[ 0.0941645,  0.9058355]]))
('reliable source', array([[ 0.09416304,  0.90583696]]))
('see this', array([[ 0.09416008,  0.90583992]]))
('the introduction', array([[ 0.09414282,  0.90585718]]))
('picture tutorial', array([[ 0.09410886,  0.90589114]]))
('page see', array([[ 0.09407883,  0.90592117]]))
('party the', array([[ 0.09406211,  0.90593789]]))
('the opening', array([[ 0.0940567,  0.9059433]]))
('be added', array([[ 0.09405329,  0.90594671]]))
('but let', array([[ 0.09404596,  0.90595404]]))
('ve seen', array([[ 0.09399556,  0.90600444]]))
('banned from', array([[ 0.09398341,  0.90601659]]))
('of information', array([[ 0.0939757,  0.9060243]]))
('not but', array([[ 0.09397253,  0.90602747]]))
('doing this', array([[ 0.0939553,  0.9060447]]))
('copyright law', array([[ 0.09393884,  0.90606116]]))
('of wp', array([[ 0.09393529,  0.90606471]]))
('the northern', array([[ 0.09390754,  0.90609246]]))
('than the', array([[ 0.09390613,  0.90609387]]))
('going to', array([[ 0.09386903,  0.90613097]]))
('to provide', array([[ 0.09385637,  0.90614363]]))
('explain what', array([[ 0.09385335,  0.90614665]]))
('it did', array([[ 0.09385288,  0.90614712]]))
('more information', array([[ 0.09384623,  0.90615377]]))
('started the', array([[ 0.09383914,  0.90616086]]))
('that came', array([[ 0.09383568,  0.90616432]]))
('of these', array([[ 0.09383054,  0.90616946]]))
('of whom', array([[ 0.09378841,  0.90621159]]))
('of those', array([[ 0.09378624,  0.90621376]]))
('unable to', array([[ 0.09376725,  0.90623275]]))
('article with', array([[ 0.09376413,  0.90623587]]))
('the last', array([[ 0.09375941,  0.90624059]]))
('seen the', array([[ 0.09373706,  0.90626294]]))
('the whole', array([[ 0.09360423,  0.90639577]]))
('the concept', array([[ 0.09360047,  0.90639953]]))
('the latter', array([[ 0.0935996,  0.9064004]]))
('the tutorial', array([[ 0.09357984,  0.90642016]]))
('not actually', array([[ 0.09355064,  0.90644936]]))
('copyright status', array([[ 0.09352915,  0.90647085]]))
('the turkish', array([[ 0.09351669,  0.90648331]]))
('post the', array([[ 0.09346206,  0.90653794]]))
('been made', array([[ 0.09341823,  0.90658177]]))
('just wondering', array([[ 0.09339301,  0.90660699]]))
('edit war', array([[ 0.09334952,  0.90665048]]))
('is the', array([[ 0.09331388,  0.90668612]]))
('should we', array([[ 0.09331307,  0.90668693]]))
('along the', array([[ 0.0932977,  0.9067023]]))
('write great', array([[ 0.09327139,  0.90672861]]))
('on wp', array([[ 0.09322079,  0.90677921]]))
('refer to', array([[ 0.09317894,  0.90682106]]))
('be great', array([[ 0.09317019,  0.90682981]]))
('the dictionary', array([[ 0.09313036,  0.90686964]]))
('page in', array([[ 0.0930756,  0.9069244]]))
('questions ask', array([[ 0.09305863,  0.90694137]]))
('prior to', array([[ 0.09305213,  0.90694787]]))
('at best', array([[ 0.09301649,  0.90698351]]))
('first line', array([[ 0.09299477,  0.90700523]]))
('information to', array([[ 0.09298682,  0.90701318]]))
