('the article', array([[ 0.99621849,  0.00378151]]))
('more likely', array([[ 0.97482291,  0.02517709]]))
('to as', array([[ 0.97481909,  0.02518091]]))
('listed at', array([[ 0.97481693,  0.02518307]]))
('the french', array([[ 0.97481264,  0.02518736]]))
('listed for', array([[ 0.97481067,  0.02518933]]))
('an article', array([[ 0.97478835,  0.02521165]]))
('many times', array([[ 0.97477857,  0.02522143]]))
('the terms', array([[ 0.97477734,  0.02522266]]))
('article or', array([[ 0.97477563,  0.02522437]]))
('the second', array([[ 0.97477404,  0.02522596]]))
('included in', array([[ 0.97472624,  0.02527376]]))
('if can', array([[ 0.97470093,  0.02529907]]))
('at any', array([[ 0.97467268,  0.02532732]]))
('image or', array([[ 0.9746627,  0.0253373]]))
('article then', array([[ 0.9746385,  0.0253615]]))
('or otherwise', array([[ 0.97458581,  0.02541419]]))
('not understand', array([[ 0.97457872,  0.02542128]]))
('mention of', array([[ 0.97455663,  0.02544337]]))
('explain the', array([[ 0.97454628,  0.02545372]]))
('secondary source', array([[ 0.97454352,  0.02545648]]))
('for long', array([[ 0.97453892,  0.02546108]]))
('not but', array([[ 0.97453339,  0.02546661]]))
('asking for', array([[ 0.97451427,  0.02548573]]))
('pov pushing', array([[ 0.97449889,  0.02550111]]))
('it may', array([[ 0.97447178,  0.02552822]]))
('the text', array([[ 0.97445119,  0.02554881]]))
('the two', array([[ 0.97441826,  0.02558174]]))
('ve read', array([[ 0.97441496,  0.02558504]]))
('taking the', array([[ 0.97441129,  0.02558871]]))
('it as', array([[ 0.97440948,  0.02559052]]))
('to editing', array([[ 0.97434764,  0.02565236]]))
('on with', array([[ 0.97433784,  0.02566216]]))
('if any', array([[ 0.97432732,  0.02567268]]))
('continued to', array([[ 0.97431386,  0.02568614]]))
('article itself', array([[ 0.97428381,  0.02571619]]))
('not use', array([[ 0.974277,  0.025723]]))
('the quality', array([[ 0.9742566,  0.0257434]]))
('would it', array([[ 0.97425518,  0.02574482]]))
('this list', array([[ 0.97424456,  0.02575544]]))
('point of', array([[ 0.97423084,  0.02576916]]))
('the date', array([[ 0.97422617,  0.02577383]]))
('how do', array([[ 0.9742229,  0.0257771]]))
('know about', array([[ 0.97420467,  0.02579533]]))
('does the', array([[ 0.97420092,  0.02579908]]))
('read it', array([[ 0.97419845,  0.02580155]]))
('not need', array([[ 0.97418578,  0.02581422]]))
('have had', array([[ 0.97416687,  0.02583313]]))
('the review', array([[ 0.97415226,  0.02584774]]))
('and see', array([[ 0.97413736,  0.02586264]]))
('please tell', array([[ 0.97413479,  0.02586521]]))
('the decision', array([[ 0.97412593,  0.02587407]]))
('this point', array([[ 0.9741234,  0.0258766]]))
('understand why', array([[ 0.97404899,  0.02595101]]))
('an important', array([[ 0.97403063,  0.02596937]]))
('the reasons', array([[ 0.9740114,  0.0259886]]))
('to have', array([[ 0.97400801,  0.02599199]]))
('case the', array([[ 0.97400355,  0.02599645]]))
('to correct', array([[ 0.97400126,  0.02599874]]))
('be sure', array([[ 0.97396506,  0.02603494]]))
('way that', array([[ 0.97395561,  0.02604439]]))
('think the', array([[ 0.97395008,  0.02604992]]))
('http www', array([[ 0.97394483,  0.02605517]]))
('the reason', array([[ 0.97393491,  0.02606509]]))
('before the', array([[ 0.97392536,  0.02607464]]))
('sure to', array([[ 0.97390691,  0.02609309]]))
('reliable sources', array([[ 0.97390598,  0.02609402]]))
('have to', array([[ 0.97389507,  0.02610493]]))
('found on', array([[ 0.97387942,  0.02612058]]))
('the lead', array([[ 0.97387236,  0.02612764]]))
('did the', array([[ 0.97386546,  0.02613454]]))
('work on', array([[ 0.97386117,  0.02613883]]))
('blocked from', array([[ 0.97384019,  0.02615981]]))
('wikipedian please', array([[ 0.97383993,  0.02616007]]))
('can avoid', array([[ 0.97383834,  0.02616166]]))
('didn know', array([[ 0.97383454,  0.02616546]]))
('which was', array([[ 0.97382914,  0.02617086]]))
('using four', array([[ 0.97382117,  0.02617883]]))
('not acceptable', array([[ 0.97380722,  0.02619278]]))
('was the', array([[ 0.97378375,  0.02621625]]))
('requests for', array([[ 0.9737806,  0.0262194]]))
('we would', array([[ 0.97377935,  0.02622065]]))
('we know', array([[ 0.97376927,  0.02623073]]))
('which can', array([[ 0.97375204,  0.02624796]]))
('saw that', array([[ 0.97373925,  0.02626075]]))
('were not', array([[ 0.97372323,  0.02627677]]))
('the sandbox', array([[ 0.97372148,  0.02627852]]))
('should not', array([[ 0.97368711,  0.02631289]]))
('pages as', array([[ 0.97368676,  0.02631324]]))
('ask that', array([[ 0.97368376,  0.02631624]]))
('that any', array([[ 0.9736813,  0.0263187]]))
('of the', array([[ 0.97367073,  0.02632927]]))
('no longer', array([[ 0.9736615,  0.0263385]]))
('ve been', array([[ 0.97365187,  0.02634813]]))
('on talk', array([[ 0.97362685,  0.02637315]]))
('same way', array([[ 0.97361663,  0.02638337]]))
('would have', array([[ 0.97361616,  0.02638384]]))
('the page', array([[ 0.97358341,  0.02641659]]))
('listed as', array([[ 0.97358288,  0.02641712]]))
('the wp', array([[ 0.9735664,  0.0264336]]))
('not edit', array([[ 0.97354507,  0.02645493]]))
('of using', array([[ 0.973514,  0.026486]]))
('need to', array([[ 0.97350949,  0.02649051]]))
('of discussion', array([[ 0.97347953,  0.02652047]]))
('editors to', array([[ 0.97347832,  0.02652168]]))
('that point', array([[ 0.97346998,  0.02653002]]))
('looking for', array([[ 0.97343223,  0.02656777]]))
('apply to', array([[ 0.97342939,  0.02657061]]))
('to check', array([[ 0.97336572,  0.02663428]]))
('article says', array([[ 0.97336294,  0.02663706]]))
('show that', array([[ 0.97335558,  0.02664442]]))
('looking at', array([[ 0.97334514,  0.02665486]]))
('may wish', array([[ 0.97329098,  0.02670902]]))
('of wp', array([[ 0.97328347,  0.02671653]]))
('to avoid', array([[ 0.97327327,  0.02672673]]))
('they were', array([[ 0.97326367,  0.02673633]]))
('think that', array([[ 0.97326351,  0.02673649]]))
('order to', array([[ 0.97320911,  0.02679089]]))
('through the', array([[ 0.97320657,  0.02679343]]))
('notice was', array([[ 0.97318108,  0.02681892]]))
('reference for', array([[ 0.97317702,  0.02682298]]))
('external links', array([[ 0.9731543,  0.0268457]]))
('improve the', array([[ 0.97315321,  0.02684679]]))
('including the', array([[ 0.97314854,  0.02685146]]))
('the names', array([[ 0.97314213,  0.02685787]]))
('sources the', array([[ 0.97313129,  0.02686871]]))
('then it', array([[ 0.97312733,  0.02687267]]))
('the sources', array([[ 0.97312293,  0.02687707]]))
('help pages', array([[ 0.9731082,  0.0268918]]))
('which it', array([[ 0.97310086,  0.02689914]]))
('though they', array([[ 0.97309096,  0.02690904]]))
('or have', array([[ 0.97307271,  0.02692729]]))
('would seem', array([[ 0.97305515,  0.02694485]]))
('by using', array([[ 0.97305514,  0.02694486]]))
('the start', array([[ 0.97304497,  0.02695503]]))
('any articles', array([[ 0.97304048,  0.02695952]]))
('how does', array([[ 0.97303824,  0.02696176]]))
('link it', array([[ 0.9730326,  0.0269674]]))
('one but', array([[ 0.97302626,  0.02697374]]))
('in mind', array([[ 0.9730149,  0.0269851]]))
('to other', array([[ 0.97298177,  0.02701823]]))
('here on', array([[ 0.97295224,  0.02704776]]))
('discussion page', array([[ 0.97294936,  0.02705064]]))
('always been', array([[ 0.97294829,  0.02705171]]))
('to always', array([[ 0.97292291,  0.02707709]]))
('article manual', array([[ 0.9729196,  0.0270804]]))
('the episode', array([[ 0.97288841,  0.02711159]]))
('disambiguation page', array([[ 0.97285044,  0.02714956]]))
('great deal', array([[ 0.97285008,  0.02714992]]))
('it also', array([[ 0.97283444,  0.02716556]]))
('when someone', array([[ 0.97282701,  0.02717299]]))
('very much', array([[ 0.97281806,  0.02718194]]))
('help in', array([[ 0.97281299,  0.02718701]]))
('disagree with', array([[ 0.97278544,  0.02721456]]))
('was born', array([[ 0.97277775,  0.02722225]]))
('write great', array([[ 0.97275377,  0.02724623]]))
('sources to', array([[ 0.97273383,  0.02726617]]))
('thought it', array([[ 0.97271191,  0.02728809]]))
('there should', array([[ 0.97270687,  0.02729313]]))
('the part', array([[ 0.97267833,  0.02732167]]))
('other articles', array([[ 0.97267596,  0.02732404]]))
('so that', array([[ 0.97267326,  0.02732674]]))
('conflict of', array([[ 0.97266932,  0.02733068]]))
('to link', array([[ 0.97266527,  0.02733473]]))
('in line', array([[ 0.97266341,  0.02733659]]))
('be good', array([[ 0.97263152,  0.02736848]]))
('one more', array([[ 0.97263087,  0.02736913]]))
('title of', array([[ 0.97262063,  0.02737937]]))
('the infobox', array([[ 0.97261171,  0.02738829]]))
('in new', array([[ 0.97256988,  0.02743012]]))
('one side', array([[ 0.97254982,  0.02745018]]))
('added to', array([[ 0.97254816,  0.02745184]]))
('think this', array([[ 0.97251913,  0.02748087]]))
('notice the', array([[ 0.97251701,  0.02748299]]))
('relevant to', array([[ 0.97248673,  0.02751327]]))
('as for', array([[ 0.97247563,  0.02752437]]))
('the proper', array([[ 0.97245573,  0.02754427]]))
('or the', array([[ 0.9724442,  0.0275558]]))
('this but', array([[ 0.97242828,  0.02757172]]))
('which they', array([[ 0.97242027,  0.02757973]]))
('be added', array([[ 0.9724138,  0.0275862]]))
('articles if', array([[ 0.97240699,  0.02759301]]))
('is there', array([[ 0.97240301,  0.02759699]]))
('of any', array([[ 0.97240053,  0.02759947]]))
('compared to', array([[ 0.97239809,  0.02760191]]))
('in question', array([[ 0.97238669,  0.02761331]]))
('be considered', array([[ 0.97235876,  0.02764124]]))
('article this', array([[ 0.97235751,  0.02764249]]))
('used as', array([[ 0.97235743,  0.02764257]]))
('was more', array([[ 0.97234739,  0.02765261]]))
('is correct', array([[ 0.97233581,  0.02766419]]))
('bit of', array([[ 0.97231226,  0.02768774]]))
('does not', array([[ 0.97230069,  0.02769931]]))
('sources for', array([[ 0.97229164,  0.02770836]]))
('as to', array([[ 0.97228132,  0.02771868]]))
('to work', array([[ 0.97227881,  0.02772119]]))
('to know', array([[ 0.97225381,  0.02774619]]))
('but also', array([[ 0.9722107,  0.0277893]]))
('external link', array([[ 0.97220807,  0.02779193]]))
('consensus and', array([[ 0.9722022,  0.0277978]]))
('may be', array([[ 0.97218487,  0.02781513]]))
('look for', array([[ 0.97216805,  0.02783195]]))
('time for', array([[ 0.97216367,  0.02783633]]))
('the press', array([[ 0.97214306,  0.02785694]]))
('although the', array([[ 0.97214282,  0.02785718]]))
('which have', array([[ 0.97214163,  0.02785837]]))
('involved in', array([[ 0.97213971,  0.02786029]]))
('any help', array([[ 0.97213941,  0.02786059]]))
('unable to', array([[ 0.97212918,  0.02787082]]))
('sources on', array([[ 0.97212901,  0.02787099]]))
('content but', array([[ 0.97212307,  0.02787693]]))
('the things', array([[ 0.97211137,  0.02788863]]))
('on wp', array([[ 0.9720984,  0.0279016]]))
('the movie', array([[ 0.97207949,  0.02792051]]))
('as part', array([[ 0.97205665,  0.02794335]]))
('this would', array([[ 0.97205485,  0.02794515]]))
('deletion tag', array([[ 0.97204986,  0.02795014]]))
('deletion articles', array([[ 0.97202949,  0.02797051]]))
('editing articles', array([[ 0.97200504,  0.02799496]]))
('assume good', array([[ 0.97198176,  0.02801824]]))
('if were', array([[ 0.97198149,  0.02801851]]))
('this issue', array([[ 0.97196753,  0.02803247]]))
('edit on', array([[ 0.971958,  0.028042]]))
('have done', array([[ 0.97193272,  0.02806728]]))
('think it', array([[ 0.97189128,  0.02810872]]))
('may also', array([[ 0.97189104,  0.02810896]]))
('as of', array([[ 0.97186417,  0.02813583]]))
('see why', array([[ 0.97183222,  0.02816778]]))
('for each', array([[ 0.97182703,  0.02817297]]))
('or may', array([[ 0.97181131,  0.02818869]]))
('on this', array([[ 0.97180925,  0.02819075]]))
('we have', array([[ 0.97180251,  0.02819749]]))
('background color', array([[ 0.97178287,  0.02821713]]))
('talk page', array([[ 0.97178037,  0.02821963]]))
('add information', array([[ 0.97177568,  0.02822432]]))
('to many', array([[ 0.97177141,  0.02822859]]))
('as they', array([[ 0.97174715,  0.02825285]]))
('well the', array([[ 0.97173549,  0.02826451]]))
('and please', array([[ 0.97172958,  0.02827042]]))
('not see', array([[ 0.97172378,  0.02827622]]))
('opinion on', array([[ 0.97170174,  0.02829826]]))
('published by', array([[ 0.97169859,  0.02830141]]))
('articles that', array([[ 0.97169538,  0.02830462]]))
('few months', array([[ 0.97169371,  0.02830629]]))
('likely to', array([[ 0.97169152,  0.02830848]]))
('article has', array([[ 0.97168829,  0.02831171]]))
('found the', array([[ 0.9716691,  0.0283309]]))
('would not', array([[ 0.97164404,  0.02835596]]))
('first article', array([[ 0.97164309,  0.02835691]]))
('know what', array([[ 0.97163688,  0.02836312]]))
('link to', array([[ 0.97160011,  0.02839989]]))
('be the', array([[ 0.97158722,  0.02841278]]))
('most likely', array([[ 0.97154459,  0.02845541]]))
('the one', array([[ 0.97150639,  0.02849361]]))
('need for', array([[ 0.97147171,  0.02852829]]))
('below the', array([[ 0.97146704,  0.02853296]]))
('been done', array([[ 0.97146566,  0.02853434]]))
('any further', array([[ 0.97146555,  0.02853445]]))
('not used', array([[ 0.97144659,  0.02855341]]))
('is important', array([[ 0.97143549,  0.02856451]]))
('that way', array([[ 0.97143458,  0.02856542]]))
('the years', array([[ 0.9714104,  0.0285896]]))
('pages to', array([[ 0.97140238,  0.02859762]]))
('find the', array([[ 0.97139972,  0.02860028]]))
('however it', array([[ 0.97138817,  0.02861183]]))
('believe the', array([[ 0.97138723,  0.02861277]]))
('other sources', array([[ 0.97137712,  0.02862288]]))
('since the', array([[ 0.97136547,  0.02863453]]))
('the introduction', array([[ 0.97136292,  0.02863708]]))
('known to', array([[ 0.9712641,  0.0287359]]))
('to follow', array([[ 0.97126193,  0.02873807]]))
('and added', array([[ 0.97125372,  0.02874628]]))
('it at', array([[ 0.97123342,  0.02876658]]))
('here for', array([[ 0.97120499,  0.02879501]]))
('the moment', array([[ 0.97120354,  0.02879646]]))
('any reason', array([[ 0.9712016,  0.0287984]]))
('help me', array([[ 0.97120063,  0.02879937]]))
('that for', array([[ 0.97117323,  0.02882677]]))
('the theory', array([[ 0.97116974,  0.02883026]]))
('remember to', array([[ 0.9711613,  0.0288387]]))
('help check', array([[ 0.9711552,  0.0288448]]))
('has done', array([[ 0.97115155,  0.02884845]]))
('the description', array([[ 0.97114536,  0.02885464]]))
('very well', array([[ 0.97114028,  0.02885972]]))
('source it', array([[ 0.97113375,  0.02886625]]))
('in some', array([[ 0.97112279,  0.02887721]]))
('would never', array([[ 0.97107674,  0.02892326]]))
('question on', array([[ 0.971042,  0.028958]]))
('or for', array([[ 0.97103678,  0.02896322]]))
('edit was', array([[ 0.97099491,  0.02900509]]))
('reverted or', array([[ 0.97098398,  0.02901602]]))
('in future', array([[ 0.97096757,  0.02903243]]))
('article talk', array([[ 0.97095676,  0.02904324]]))
('see the', array([[ 0.97095542,  0.02904458]]))
('made the', array([[ 0.97095395,  0.02904605]]))
('per the', array([[ 0.97094275,  0.02905725]]))
('evidence of', array([[ 0.97093628,  0.02906372]]))
('the following', array([[ 0.97093365,  0.02906635]]))
('to answer', array([[ 0.9709251,  0.0290749]]))
('wikipedia thank', array([[ 0.97090668,  0.02909332]]))
('to cite', array([[ 0.97090094,  0.02909906]]))
('image use', array([[ 0.97089777,  0.02910223]]))
('things in', array([[ 0.9708961,  0.0291039]]))
('move the', array([[ 0.97089017,  0.02910983]]))
('ve never', array([[ 0.97088196,  0.02911804]]))
('should know', array([[ 0.97086042,  0.02913958]]))
('the long', array([[ 0.97083007,  0.02916993]]))
('know the', array([[ 0.97081768,  0.02918232]]))
('where it', array([[ 0.97080863,  0.02919137]]))
('please consider', array([[ 0.97080776,  0.02919224]]))
('also not', array([[ 0.97080581,  0.02919419]]))
('as possible', array([[ 0.97080375,  0.02919625]]))
('intended to', array([[ 0.97078243,  0.02921757]]))
('the edits', array([[ 0.97076379,  0.02923621]]))
('but am', array([[ 0.97073315,  0.02926685]]))
('intend to', array([[ 0.97072772,  0.02927228]]))
('the stuff', array([[ 0.97070822,  0.02929178]]))
('in those', array([[ 0.97069704,  0.02930296]]))
('more to', array([[ 0.97069417,  0.02930583]]))
('but to', array([[ 0.97068767,  0.02931233]]))
('the former', array([[ 0.97068727,  0.02931273]]))
('this page', array([[ 0.97066298,  0.02933702]]))
('it when', array([[ 0.97063565,  0.02936435]]))
('but now', array([[ 0.97061909,  0.02938091]]))
('and ve', array([[ 0.97061645,  0.02938355]]))
('the various', array([[ 0.97061277,  0.02938723]]))
('not been', array([[ 0.97060925,  0.02939075]]))
('in case', array([[ 0.9705956,  0.0294044]]))
('it says', array([[ 0.9705898,  0.0294102]]))
('hope to', array([[ 0.97058682,  0.02941318]]))
('please make', array([[ 0.97057165,  0.02942835]]))
('article was', array([[ 0.97056963,  0.02943037]]))
('done to', array([[ 0.97056105,  0.02943895]]))
('not trying', array([[ 0.97054564,  0.02945436]]))
('help to', array([[ 0.97054477,  0.02945523]]))
('not think', array([[ 0.97052839,  0.02947161]]))
('should have', array([[ 0.97051393,  0.02948607]]))
('and wp', array([[ 0.97050189,  0.02949811]]))
('lived in', array([[ 0.9704847,  0.0295153]]))
('result in', array([[ 0.97048233,  0.02951767]]))
('have reverted', array([[ 0.97047843,  0.02952157]]))
('edits on', array([[ 0.97046354,  0.02953646]]))
('sandbox for', array([[ 0.97045678,  0.02954322]]))
('anyone know', array([[ 0.97045229,  0.02954771]]))
('find that', array([[ 0.97045091,  0.02954909]]))
('article with', array([[ 0.97043165,  0.02956835]]))
('the history', array([[ 0.97041867,  0.02958133]]))
('for another', array([[ 0.97040228,  0.02959772]]))
('be used', array([[ 0.97040017,  0.02959983]]))
('not at', array([[ 0.97036357,  0.02963643]]))
('seems that', array([[ 0.97036233,  0.02963767]]))
('the video', array([[ 0.97032115,  0.02967885]]))
('source of', array([[ 0.97031086,  0.02968914]]))
('the pov', array([[ 0.97028753,  0.02971247]]))
('questions page', array([[ 0.97028639,  0.02971361]]))
('the more', array([[ 0.97027679,  0.02972321]]))
('page has', array([[ 0.97025598,  0.02974402]]))
('uploading image', array([[ 0.97024926,  0.02975074]]))
('did was', array([[ 0.97023166,  0.02976834]]))
('here that', array([[ 0.97022815,  0.02977185]]))
('actually the', array([[ 0.97020744,  0.02979256]]))
('on how', array([[ 0.97020506,  0.02979494]]))
('number of', array([[ 0.97019907,  0.02980093]]))
('right in', array([[ 0.97018099,  0.02981901]]))
('secondary sources', array([[ 0.97016912,  0.02983088]]))
('and to', array([[ 0.970168,  0.029832]]))
('many of', array([[ 0.97014932,  0.02985068]]))
('changed the', array([[ 0.97014897,  0.02985103]]))
('user page', array([[ 0.97014413,  0.02985587]]))
('was also', array([[ 0.97014245,  0.02985755]]))
('for instance', array([[ 0.97014219,  0.02985781]]))
('editing here', array([[ 0.97012459,  0.02987541]]))
('used by', array([[ 0.97011979,  0.02988021]]))
('but in', array([[ 0.9700558,  0.0299442]]))
('the problems', array([[ 0.97005281,  0.02994719]]))
('but since', array([[ 0.97004291,  0.02995709]]))
('and in', array([[ 0.97003542,  0.02996458]]))
('how did', array([[ 0.97003343,  0.02996657]]))
('other pages', array([[ 0.97002312,  0.02997688]]))
('have never', array([[ 0.97000546,  0.02999454]]))
('made to', array([[ 0.97000535,  0.02999465]]))
('terms of', array([[ 0.97000211,  0.02999789]]))
('for years', array([[ 0.97000203,  0.02999797]]))
('the modern', array([[ 0.96999316,  0.03000684]]))
('best of', array([[ 0.96997042,  0.03002958]]))
('links for', array([[ 0.96996554,  0.03003446]]))
('be better', array([[ 0.9699646,  0.0300354]]))
('the bbc', array([[ 0.96995855,  0.03004145]]))
('which the', array([[ 0.96995752,  0.03004248]]))
('that seems', array([[ 0.9699532,  0.0300468]]))
('book of', array([[ 0.96995089,  0.03004911]]))
('why can', array([[ 0.96994318,  0.03005682]]))
('easy to', array([[ 0.96994274,  0.03005726]]))
('why would', array([[ 0.9699387,  0.0300613]]))
('image page', array([[ 0.96993577,  0.03006423]]))
('long as', array([[ 0.96993329,  0.03006671]]))
('how would', array([[ 0.96991591,  0.03008409]]))
('this type', array([[ 0.96990876,  0.03009124]]))
('name for', array([[ 0.96989912,  0.03010088]]))
('to remove', array([[ 0.96989825,  0.03010175]]))
('the rfc', array([[ 0.96988613,  0.03011387]]))
('how to', array([[ 0.96988243,  0.03011757]]))
('the issues', array([[ 0.96988242,  0.03011758]]))
('similar to', array([[ 0.96988191,  0.03011809]]))
('more than', array([[ 0.96986747,  0.03013253]]))
('deletion or', array([[ 0.96986589,  0.03013411]]))
('know of', array([[ 0.9698618,  0.0301382]]))
('here http', array([[ 0.96985881,  0.03014119]]))
('the scientific', array([[ 0.96985477,  0.03014523]]))
('the author', array([[ 0.96983182,  0.03016818]]))
('if we', array([[ 0.96982051,  0.03017949]]))
('and the', array([[ 0.96981019,  0.03018981]]))
('the specific', array([[ 0.96979563,  0.03020437]]))
('what happened', array([[ 0.96978766,  0.03021234]]))
('listed in', array([[ 0.96976399,  0.03023601]]))
('the data', array([[ 0.96966793,  0.03033207]]))
('what was', array([[ 0.96966373,  0.03033627]]))
('an image', array([[ 0.9696594,  0.0303406]]))
('not that', array([[ 0.96965177,  0.03034823]]))
('helpful the', array([[ 0.96962307,  0.03037693]]))
('as notable', array([[ 0.96960548,  0.03039452]]))
('image copyright', array([[ 0.96955004,  0.03044996]]))
('in this', array([[ 0.96954229,  0.03045771]]))
('as ve', array([[ 0.96948445,  0.03051555]]))
('after they', array([[ 0.96947366,  0.03052634]]))
('feel free', array([[ 0.96946175,  0.03053825]]))
('to verify', array([[ 0.96941148,  0.03058852]]))
('the concept', array([[ 0.96940643,  0.03059357]]))
('could you', array([[ 0.96940568,  0.03059432]]))
('first of', array([[ 0.9694027,  0.0305973]]))
('for me', array([[ 0.96939299,  0.03060701]]))
('the criticism', array([[ 0.96938617,  0.03061383]]))
('seems to', array([[ 0.96937628,  0.03062372]]))
('to become', array([[ 0.96933206,  0.03066794]]))
('saying it', array([[ 0.96932935,  0.03067065]]))
('contrary to', array([[ 0.96931954,  0.03068046]]))
('the previous', array([[ 0.96931453,  0.03068547]]))
('the five', array([[ 0.96930159,  0.03069841]]))
('to see', array([[ 0.96929487,  0.03070513]]))
('then that', array([[ 0.96929283,  0.03070717]]))
('not quite', array([[ 0.9692918,  0.0307082]]))
('links to', array([[ 0.96927976,  0.03072024]]))
('page which', array([[ 0.96926342,  0.03073658]]))
('example the', array([[ 0.96922569,  0.03077431]]))
('the present', array([[ 0.96922113,  0.03077887]]))
('been reverted', array([[ 0.96921559,  0.03078441]]))
('fix the', array([[ 0.96920984,  0.03079016]]))
('if so', array([[ 0.96920469,  0.03079531]]))
('but that', array([[ 0.96919615,  0.03080385]]))
('along the', array([[ 0.96916786,  0.03083214]]))
('but they', array([[ 0.96915019,  0.03084981]]))
('can tell', array([[ 0.96914556,  0.03085444]]))
('edit war', array([[ 0.96913938,  0.03086062]]))
('request to', array([[ 0.96913516,  0.03086484]]))

('this administrator', array([[ 0.88455457,  0.11544543]]))
('you but', array([[ 0.88455276,  0.11544724]]))
('delete this', array([[ 0.88446279,  0.11553721]]))
('im still', array([[ 0.88435864,  0.11564136]]))
('your account', array([[ 0.88428164,  0.11571836]]))
('padding 3px', array([[ 0.88424822,  0.11575178]]))
('are some', array([[ 0.88420191,  0.11579809]]))
('see you', array([[ 0.88402993,  0.11597007]]))
('not delete', array([[ 0.88399806,  0.11600194]]))
('and is', array([[ 0.88395563,  0.11604437]]))
('mean you', array([[ 0.88395551,  0.11604449]]))
('he should', array([[ 0.88392814,  0.11607186]]))
('dont know', array([[ 0.88392681,  0.11607319]]))
('even have', array([[ 0.88385774,  0.11614226]]))
('what am', array([[ 0.88380059,  0.11619941]]))
('the jews', array([[ 0.88376328,  0.11623672]]))
('and personal', array([[ 0.88364607,  0.11635393]]))
('he has', array([[ 0.88361736,  0.11638264]]))
('tag yourself', array([[ 0.88336034,  0.11663966]]))
('enjoys making', array([[ 0.88320014,  0.11679986]]))
('appreciate your', array([[ 0.88312665,  0.11687335]]))
('and no', array([[ 0.88311058,  0.11688942]]))
('for making', array([[ 0.88304681,  0.11695319]]))
('policy and', array([[ 0.88268183,  0.11731817]]))
('call me', array([[ 0.8826523,  0.1173477]]))
('world and', array([[ 0.88253005,  0.11746995]]))
('marcolfuck chester', array([[ 0.88233548,  0.11766452]]))
('page will', array([[ 0.88228758,  0.11771242]]))
('chester marcolfuck', array([[ 0.88228237,  0.11771763]]))
('oxymoron is', array([[ 0.88218093,  0.11781907]]))
('is indeed', array([[ 0.88215025,  0.11784975]]))
('who cares', array([[ 0.88210653,  0.11789347]]))
('me to', array([[ 0.88210492,  0.11789508]]))
('wikipedia it', array([[ 0.8819932,  0.1180068]]))
('teabag teabag', array([[ 0.88187325,  0.11812675]]))
('your response', array([[ 0.88185431,  0.11814569]]))
('you might', array([[ 0.88184397,  0.11815603]]))
('he does', array([[ 0.88181214,  0.11818786]]))
('and they', array([[ 0.88180398,  0.11819602]]))
('this user', array([[ 0.88168069,  0.11831931]]))
('jews and', array([[ 0.88144849,  0.11855151]]))
('want me', array([[ 0.88144462,  0.11855538]]))
('and all', array([[ 0.88106909,  0.11893091]]))
('come across', array([[ 0.88093992,  0.11906008]]))
('you only', array([[ 0.88072403,  0.11927597]]))
('is up', array([[ 0.88067965,  0.11932035]]))
('he also', array([[ 0.88067891,  0.11932109]]))
('think he', array([[ 0.88063518,  0.11936482]]))
('admin bad', array([[ 0.88061018,  0.11938982]]))
('of yours', array([[ 0.88047855,  0.11952145]]))
('read my', array([[ 0.88046061,  0.11953939]]))
('wikipedia has', array([[ 0.88039548,  0.11960452]]))
('is and', array([[ 0.88029093,  0.11970907]]))
('truth is', array([[ 0.88024263,  0.11975737]]))
('calling me', array([[ 0.88021243,  0.11978757]]))
('is he', array([[ 0.88012756,  0.11987244]]))
('give up', array([[ 0.88012656,  0.11987344]]))
('time and', array([[ 0.8799222,  0.1200778]]))
('the truth', array([[ 0.87982995,  0.12017005]]))
('and yet', array([[ 0.8797556,  0.1202444]]))
('there you', array([[ 0.87967598,  0.12032402]]))
('who had', array([[ 0.87956083,  0.12043917]]))
('material is', array([[ 0.87951264,  0.12048736]]))
('considered vandalism', array([[ 0.87948882,  0.12051118]]))
('instead of', array([[ 0.87941143,  0.12058857]]))
('my ip', array([[ 0.87931063,  0.12068937]]))
('be reported', array([[ 0.87922965,  0.12077035]]))
('an old', array([[ 0.87922435,  0.12077565]]))
('then will', array([[ 0.87920412,  0.12079588]]))
('all that', array([[ 0.87914492,  0.12085508]]))
('your help', array([[ 0.87913849,  0.12086151]]))
('like jews', array([[ 0.87906261,  0.12093739]]))
('spam vandalism', array([[ 0.87899839,  0.12100161]]))
('you dcks', array([[ 0.8787944,  0.1212056]]))
('you for', array([[ 0.87878367,  0.12121633]]))
('is smart', array([[ 0.87874861,  0.12125139]]))
('to delete', array([[ 0.87874205,  0.12125795]]))
('your questions', array([[ 0.87866149,  0.12133851]]))
('hey like', array([[ 0.87862997,  0.12137003]]))
('blank your', array([[ 0.87854865,  0.12145135]]))
('who made', array([[ 0.8784711,  0.1215289]]))
('leave the', array([[ 0.87842481,  0.12157519]]))
('like me', array([[ 0.87840339,  0.12159661]]))
('jews hey', array([[ 0.87837833,  0.12162167]]))
('on being', array([[ 0.87824218,  0.12175782]]))
('middle padding', array([[ 0.87806053,  0.12193947]]))
('an actual', array([[ 0.87798478,  0.12201522]]))
('me if', array([[ 0.87790003,  0.12209997]]))
('put up', array([[ 0.87786862,  0.12213138]]))
('you say', array([[ 0.87768264,  0.12231736]]))
('so will', array([[ 0.87752371,  0.12247629]]))
('to wiki', array([[ 0.87726818,  0.12273182]]))
('when you', array([[ 0.87724898,  0.12275102]]))
